,junction_id,junction_type,x,y,z,isRoundabout,trafficlight_count,avg_lane_speed,lane_speeds_std_deviation,avg_lane_length,lane_length_standard_deviation,edge_types,edge_prioities,number_of_lanes,intl_avg_lane_speed,intl_lane_speeds_std_deviation,intl_avg_lane_length,intl_lane_length_standard_deviation,intl_edge_types,intl_edge_prioities,intl_number_of_lanes,clusters_maxabs_3dimensions,clusters_combined_3dimensions
152,-29958,traffic_light,9021.04,8788.33,,False,"[8, '-29958', [['--31070#5', '--31070#4', '-29958', 's', 'o'], ['--31070#5', '--30596#2', '-29958', 'l', 'o'], ['-30596#2', '-31070#5', '-29958', 'r', 'o'], ['-30596#2', '-31070#5', '-29958', 'r', 'o'], ['-30596#2', '--31070#4', '-29958', 'l', 'o'], ['-31070#4', '--30596#2', '-29958', 'r', 'o'], ['-31070#4', '--30596#2', '-29958', 'r', 'o'], ['-31070#4', '-31070#5', '-29958', 's', 'o']]]",14.816666666666668,1.3105045677990688,200.66,84.03540365028698,"['highway.tertiary', 'highway.tertiary', 'highway.tertiary', 'highway.tertiary', 'highway.secondary', 'highway.secondary']",6.333333333333333,6,14.9325,0.6018876556301843,13.10875,4.054665329900854,,-1,8,0,1
153,-29988,traffic_light,6637.17,5644.58,,False,"[12, '-29988', [['--31272#5', '--31272#4', '-29988', 's', 'o'], ['--31272#5', '--31272#4', '-29988', 's', 'o'], ['--31272#5', '--31272#4', '-29988', 's', 'o'], ['--31272#5', '-31320#3', '-29988', 'l', 'o'], ['-31272#4', '-31320#3', '-29988', 'r', 'o'], ['-31272#4', '-31272#5', '-29988', 's', 'o'], ['-31272#4', '-31272#5', '-29988', 's', 'o'], ['-31272#4', '-31272#5', '-29988', 's', 'o'], ['-31320#2', '--31272#4', '-29988', 'r', 'o'], ['-31320#2', '-31320#3', '-29988', 's', 'o'], ['-31320#2', '-31272#5', '-29988', 'l', 'o'], ['-31320#2', '-31272#5', '-29988', 'l', 'o']]]",14.585,1.2037753112603702,149.5125,81.25308113388684,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.secondary', 'highway.secondary', 'highway.primary', 'highway.primary', 'highway.primary']",8.5,8,14.700833333333334,0.8897327157947802,11.608333333333333,4.655537622611974,,-1,12,0,1
154,-30132,traffic_light,2540.29,8438.12,,False,"[14, '-30132', [['--31508#3', '--32878#5', '-30132', 'r', 'o'], ['--31508#3', '--31508#2', '-30132', 'L', 'o'], ['--31508#3', '-32878#6', '-30132', 'l', 'o'], ['--32878#6', '-31508#3', '-30132', 'r', 'o'], ['--32878#6', '--32878#5', '-30132', 's', 'o'], ['--32878#6', '--32878#5', '-30132', 's', 'o'], ['--32878#6', '--31508#2', '-30132', 'l', 'o'], ['-31508#2', '-32878#6', '-30132', 'r', 'o'], ['-31508#2', '-31508#3', '-30132', 'R', 'o'], ['-31508#2', '--32878#5', '-30132', 's', 'o'], ['-32878#5', '--31508#2', '-30132', 's', 'o'], ['-32878#5', '-32878#6', '-30132', 's', 'o'], ['-32878#5', '-32878#6', '-30132', 's', 'o'], ['-32878#5', '-31508#3', '-30132', 'l', 'o']]]",13.89,0.0,552.4183333333334,453.4190579885481,"['highway.residential', 'highway.secondary', 'highway.secondary', 'highway.residential', 'highway.secondary', 'highway.secondary']",6.0,6,13.89,1.7763568394002505e-15,18.011428571428574,6.392233968030333,,-1,14,1,1
155,-3054,traffic_light,12507.9,8602.74,,False,"[12, '-3054', [['--30856#19', '-32674#0', '-3054', 'r', 'o'], ['--30856#19', '--30856#18', '-3054', 's', 'o'], ['--30856#19', '--30856#18', '-3054', 's', 'o'], ['--30856#19', '--30856#18', '-3054', 's', 'o'], ['--32674#0', '--30856#18', '-3054', 'r', 'o'], ['--32674#0', '-30856#19', '-3054', 'l', 'o'], ['--32674#0', '-30856#19', '-3054', 'l', 'o'], ['-30856#18', '-30856#19', '-3054', 's', 'o'], ['-30856#18', '-30856#19', '-3054', 's', 'o'], ['-30856#18', '-30856#19', '-3054', 's', 'o'], ['-30856#18', '-32674#0', '-3054', 'l', 'o'], ['-30856#18', '-32674#0', '-3054', 'l', 'o']]]",13.89,0.0,633.7033333333334,525.523684358966,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary']",9.0,9,13.89,0.0,27.304166666666664,6.875748999604011,,-1,12,1,2
156,-3100,traffic_light,2192.63,7515.06,,False,"[11, '-3100', [['--32308#2', '--32308#1', '-3100', 's', 'o'], ['--32308#2', '--32308#1', '-3100', 's', 'o'], ['--32308#2', '--32308#1', '-3100', 's', 'o'], ['--32308#2', '--30844#1', '-3100', 'l', 'o'], ['-30844#1', '-32308#2', '-3100', 'r', 'o'], ['-30844#1', '--32308#1', '-3100', 'l', 'o'], ['-30844#1', '--32308#1', '-3100', 'l', 'o'], ['-32308#1', '--30844#1', '-3100', 'r', 'o'], ['-32308#1', '-32308#2', '-3100', 's', 'o'], ['-32308#1', '-32308#2', '-3100', 's', 'o'], ['-32308#1', '-32308#2', '-3100', 's', 'o']]]",18.0525,2.403220495501817,94.0025,48.75613903653569,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.tertiary', 'highway.tertiary', 'highway.primary', 'highway.primary', 'highway.primary']",8.25,8,18.17636363636364,1.3842442816948748,14.56,4.862967668559452,,-1,11,0,1
157,-3120,traffic_light,6536.58,6832.68,,False,"[12, '-3120', [['--32750#11', '-30384#2', '-3120', 'r', 'o'], ['--32750#11', '--32750#10', '-3120', 's', 'o'], ['--32750#11', '--32750#10', '-3120', 's', 'o'], ['--32750#11', '--32750#10', '-3120', 's', 'o'], ['-30384#1', '-32750#11', '-3120', 'r', 'o'], ['-30384#1', '-30384#2', '-3120', 's', 'o'], ['-30384#1', '--32750#10', '-3120', 'l', 'o'], ['-30384#1', '--32750#10', '-3120', 'l', 'o'], ['-32750#10', '-32750#11', '-3120', 's', 'o'], ['-32750#10', '-32750#11', '-3120', 's', 'o'], ['-32750#10', '-32750#11', '-3120', 's', 'o'], ['-32750#10', '-30384#2', '-3120', 'l', 'o']]]",14.585,1.2037753112603702,161.66375,89.37134704947387,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.secondary', 'highway.secondary', 'highway.primary', 'highway.primary', 'highway.primary']",8.5,8,14.700833333333334,0.8897327157947802,11.515833333333331,4.588150423161337,,-1,12,0,1
158,-346,traffic_light,7809.8,4944.04,,False,"[6, '-346', [['--30528#27', '--30528#26', '-346', 's', 'o'], ['--30528#27', '--30528#26', '-346', 's', 'o'], ['--30528#27', '--30528#26', '-346', 's', 'o'], ['-30528#26', '-30528#27', '-346', 's', 'o'], ['-30528#26', '-30528#27', '-346', 's', 'o'], ['-30528#26', '-30528#27', '-346', 's', 'o']]]",13.89,0.0,38.13,27.960000000000004,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.primary']",9.0,6,13.89,0.0,0.0999999999999999,1.3877787807814457e-17,,-1,6,1,1
159,-3976,traffic_light,7415.69,6049.57,,False,"[13, '-3976', [['--31890', '-32410#1', '-3976', 'r', 'o'], ['--31890', '--32410#0', '-3976', 'l', 'o'], ['--32410#1', '--32410#0', '-3976', 's', 'o'], ['--32410#1', '--32410#0', '-3976', 's', 'o'], ['--32410#1', '--32410#0', '-3976', 's', 'o'], ['--32410#1', '-31890', '-3976', 'l', 'o'], ['-32410#0', '-31890', '-3976', 'r', 'o'], ['-32410#0', '-32410#1', '-3976', 's', 'o'], ['-32410#0', '-32410#1', '-3976', 's', 'o'], ['-32410#0', '-32410#1', '-3976', 's', 'o'], ['-32850', '--32410#0', '-3976', 'r', 'o'], ['-32850', '-31890', '-3976', 's', 'o'], ['-32850', '-32410#1', '-3976', 'l', 'o']]]",15.002000000000004,1.3619162969874476,87.49300000000001,36.03249867827654,"['highway.primary', 'highway.primary', 'highway.primary', 'highway.secondary', 'highway.secondary', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.secondary', 'highway.secondary']",8.2,10,14.745384615384612,0.8686471832649217,13.838461538461535,4.897072667426855,,-1,13,0,1
160,-4004,traffic_light,7679.13,5913.5,,False,"[8, '-4004', [['--32468#4', '--31886#3', '-4004', 'r', 'o'], ['--32468#4', '--32468#3', '-4004', 's', 'o'], ['--32468#4', '--32468#3', '-4004', 's', 'o'], ['-31886#3', '--32468#3', '-4004', 'r', 'o'], ['-31886#3', '-32468#4', '-4004', 'l', 'o'], ['-32468#3', '-32468#4', '-4004', 's', 'o'], ['-32468#3', '-32468#4', '-4004', 's', 'o'], ['-32468#3', '--31886#3', '-4004', 'l', 'o']]]",16.114,1.1120000000000003,74.568,21.71815590698253,"['highway.residential', 'highway.secondary', 'highway.secondary', 'highway.secondary', 'highway.secondary']",6.4,5,15.975,0.6950000000000012,8.085,2.166044782547212,,-1,8,0,1
161,-4176,traffic_light,7224.92,6206.17,,False,"[10, '-4176', [['--30528#12', '--30528#11', '-4176', 's', 'o'], ['--30528#12', '--30528#11', '-4176', 's', 'o'], ['--30528#12', '--30528#11', '-4176', 's', 'o'], ['-30528#11', '-30528#12', '-4176', 's', 'o'], ['-30528#11', '-30528#12', '-4176', 's', 'o'], ['-30528#11', '-30528#12', '-4176', 's', 'o'], ['-32014', '--30528#11', '-4176', 'r', 'o'], ['-32014', '-30528#12', '-4176', 'l', 'o'], ['-32514', '-30528#12', '-4176', 'r', 'o'], ['-32514', '--30528#11', '-4176', 'l', 'o']]]",13.89,0.0,85.19624999999999,25.57178471357641,"['highway.residential', 'highway.primary', 'highway.primary', 'highway.primary', 'highway.residential', 'highway.primary', 'highway.primary', 'highway.primary']",7.75,8,13.89,0.0,7.612,3.2485005771894206,,-1,10,1,1
